,"Energy, MeV","IFlux, cm-2"
0,0.1,7.081190571499978e+17
1,0.16503895718584985,2.6961209109037574e+17
2,0.2723785738899278,7.926178681766341e+16
3,0.44953075794562647,1.5249823247043778e+16
4,0.7419008751431088,1335368291115539.8
5,1.2244254676888806,20469556528275.38
6,2.020779023391694,1121876364350.9778
7,3.335072627236052,864880938518.4454
8,5.504169085381107,657094475685.4861
9,9.084023260258911,480972578753.90967
10,14.992177259251342,329032910688.38306
11,24.742933008122545,203598378108.35648
12,40.83547861379889,109466320299.42334
13,67.39444806606444,49537626194.1369
14,111.22709428939183,18272882174.59962
15,183.56803652333426,5497041543.955806
16,302.9587732046509,1460979362.5714502
17,499.99999999999994,349100001.00000024
