============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(1 MeV) ==> SiO2 - quartz (ICRU-245)(  2 um) ============
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  547  1 .8992711E+06   2000119E-02 -.5389E+02 -.2106E+03   .9998468 -.0077124 -.0157158
T  548  1 .9138487E+06   2000085E-02 -.2922E+03 -.2996E+03   .9987799 -.0392692 -.0299440
T  549  1 .9072874E+06   2000216E-02  .1556E+04  .6556E+03   .9939843  .0984473  .0479925
T  550  1 .8971331E+06   2000191E-02 -.6143E+01 -.1228E+03   .9998808 -.0019544 -.0153182
T  551  1 .9164953E+06   2000046E-02  .8367E+02  .2195E+03   .9998744  .0010364  .0158160
T  552  1 .9083935E+06   2000238E-02  .2884E+02 -.1409E+03   .9996095  .0079698 -.0267835
T  553  1 .9112492E+06   2000212E-02 -.1102E+03  .1633E+03   .9974271 -.0501220  .0512545
T  554  1 .9134587E+06   2000077E-02 -.2850E+04 -.8389E+02   .9780318 -.2081575 -.0111424
T  555  1 .9071959E+06   2000002E-02  .4515E+03  .4821E+03   .9983399  .0353935  .0454403
T  556  1 .9070426E+06   2000148E-02  .8980E+02  .1940E+03   .9999057  .0099890  .0094192
T  557  1 .9165929E+06   2000180E-02 -.3526E+02  .1329E+03   .9999799 -.0007407  .0062987
T  558  1 .9051407E+06   2000198E-02  .2781E+03  .1291E+03   .9995005  .0268763  .0166274
T  559  1 .9058907E+06   2000118E-02 -.8403E+02  .4446E+02   .9998466 -.0147928  .0093793
T  560  1 .9026973E+06   2000215E-02  .1013E+02 -.1128E+03   .9997942  .0080896 -.0186019
T  561  1 .9097064E+06   2000240E-02 -.6318E+02 -.2320E+03   .9996980 -.0094138 -.0227001
T  562  1 .9083416E+06   2000156E-02 -.5431E+02 -.8211E+02   .9999885 -.0008091 -.0047166
T  563  1 .9058452E+06   2000122E-02  .4339E+02 -.1086E+03   .9989298  .0071264 -.0456989
T  564  1 .9026653E+06   2000132E-02 -.6253E+02 -.2905E+02   .9999867 -.0047778  .0019545
T  565  1 .9019318E+06   2000207E-02 -.8452E+02 -.4921E+02   .9997639 -.0215836 -.0024900
T  566  1 .9060644E+06   2000240E-02 -.3282E+01 -.2293E+02   .9998958 -.0141888 -.0026509
T  567  1 .9015972E+06   2000219E-02 -.7174E+02  .9339E+02   .9995447 -.0250193  .0168635
T  568  1 .9073013E+06   2000171E-02 -.6421E+01  .5054E+02   .9999700  .0062611  .0045704
T  569  1 .9138967E+06   2000021E-02  .1605E+02 -.1336E+03   .9999674  .0068830 -.0042249
T  570  1 .9077274E+06   2000238E-02 -.1090E+03  .7640E+02   .9998702 -.0143254  .0073792
T  571  1 .9092804E+06   2000050E-02  .9177E+02 -.7504E+02   .9999829  .0053283 -.0024231
T  572  1 .9034911E+06   2000049E-02  .4158E+02 -.1646E+03   .9997344  .0084298 -.0214512
T  573  1 .9121097E+06   2000104E-02 -.8519E+02  .4325E+02   .9998312 -.0067955  .0170687
T  574  1 .9146793E+06   2000149E-02  .5725E+02 -.8512E+02   .9998851  .0114039 -.0099915
T  575  1 .9093517E+06   2000132E-02  .9024E+02 -.3251E+01   .9998955  .0144553  .0001799
T  576  1 .9098570E+06   2000046E-02  .9019E+02  .3209E+02   .9999881  .0023534  .0042728
T  577  1 .9112813E+06   2000193E-02 -.1102E+03 -.1616E+03   .9997985 -.0056491 -.0192629
T  578  1 .9078757E+06   2000146E-02  .8942E+01  .9283E+02   .9999452  .0039099  .0097063
T  579  1 .9194575E+06   2000163E-02 -.1381E+03 -.5433E+02   .9999817 -.0042152  .0043360
T  580  1 .9139067E+06   2000106E-02 -.1461E+02  .6356E+02   .9995975  .0063046  .0276594
T  581  1 .9134401E+06   2000160E-02  .7840E+02 -.4732E+01   .9999954  .0028999  .0008577
T  582  1 .9079981E+06   2000138E-02 -.6663E+02 -.7978E+02   .9998797 -.0089010 -.0127024
T  583  1 .9121546E+06   2000228E-02 -.5935E+02 -.2029E+03   .9993674 -.0019777 -.0355089
T  584  1 .9126927E+06   2000170E-02  .2056E+03 -.1432E+03   .9996273  .0269910 -.0040987
T  585  1 .9152045E+06   2000218E-02  .9250E+02 -.2095E+02   .9998613  .0160490 -.0044464
T  586  1 .9130439E+06   2000157E-02  .4964E+02  .7459E+01   .9999823  .0034974 -.0048222
T  587  1 .9189049E+06   2000183E-02 -.1146E+03 -.2085E+03   .9998783 -.0111961 -.0108644
T  588  1 .9166135E+06   2000100E-02  .1605E+02  .3231E+02   .9999749 -.0037920  .0059860
T  589  1 .9070420E+06   2000014E-02 -.6403E+02 -.5793E+02   .9997403  .0054446 -.0221276
T  590  1 .9088694E+06   2000107E-02 -.1372E+03  .1194E+03   .9994308  .0080961  .0327494
T  591  1 .9039475E+06   2000181E-02  .6854E+01  .1932E+03   .9996111 -.0052350  .0273922
T  592  1 .9146978E+06   2000052E-02 -.1840E+02 -.9566E+02   .9998183 -.0023952 -.0189112
T  593  1 .9119533E+06   2000003E-02 -.1881E+03  .5132E+02   .9996639 -.0239507  .0099178
T  594  1 .9144392E+06   2000072E-02  .7256E+02  .1314E+02   .9999305  .0116461  .0018210
T  595  1 .9076147E+06   2000040E-02  .7408E+02 -.8260E+02   .9998742  .0008682 -.0158404
T  596  1 .9136448E+06   2000099E-02 -.7736E+02 -.6253E+02   .9998378 -.0116115 -.0137643
T  597  1 .9115109E+06   2000175E-02 -.8491E+02 -.9977E+00   .9999838 -.0053104  .0020654
T  598  1 .9112440E+06   2000030E-02 -.1600E+03 -.1616E+03   .9997938 -.0127248 -.0158235
T  599  1 .9037636E+06   2000046E-02  .3338E+02 -.9362E+02   .9997353 -.0095025 -.0209541
T  600  1 .9217124E+06   2000207E-02  .1071E+03 -.1243E+02   .9999488 -.0025749 -.0097890
T  601  1 .9178723E+06   2000203E-02 -.8823E+02 -.8200E+02   .9992815  .0335395 -.0176496
T  602  1 .9204038E+06   2000153E-02 -.7160E+02 -.5770E+02   .9999701 -.0066756 -.0039090
T  603  1 .9114700E+06   2000086E-02 -.1175E+03  .4697E+02   .9998949 -.0131660  .0060707
T  604  1 .9048600E+06   2000185E-02  .9723E+02  .5317E+02   .9998992  .0090204  .0109614
T  605  1 .9150659E+06   2000025E-02 -.7157E+02  .1011E+03   .9998423 -.0137258  .0112668
T  606  1 .9096424E+06   2000204E-02 -.9284E+02 -.1011E+02   .9999222 -.0119917  .0034201
T  607  1 .9131885E+06   2000029E-02 -.2484E+02 -.1517E+03   .9998632  .0026902 -.0163205
T  608  1 .8988569E+06   2000035E-02  .2118E+03 -.5129E+02   .9996636  .0249131 -.0072067
T  609  1 .9133141E+06   2000132E-02 -.7822E+02  .1372E+02   .9999790 -.0060835 -.0022423
T  610  1 .9098322E+06   2000168E-02 -.1064E+03 -.1312E+03   .9998391 -.0157783 -.0085309
T  611  1 .9070601E+06   2000002E-02 -.9773E+02  .3854E+02   .9999793 -.0039663  .0050591
T  612  1 .9039853E+06   2000243E-02  .6885E+02 -.7981E+02   .9998080  .0124619 -.0151226
T  613  1 .9086902E+06   2000238E-02 -.6630E+02 -.2278E+03   .9997992 -.0080929 -.0183306
T  614  1 .9164169E+06   2000184E-02 -.1041E+02 -.2076E+03   .9993590 -.0183093 -.0307645
T  615  1 .9172031E+06   2000170E-02  .4395E+02 -.1298E+03   .9995982  .0103979 -.0263703
T  616  1 .9052128E+06   2000079E-02 -.3370E+02 -.8427E+02   .9999841 -.0055339  .0010426
T  617  1 .9042697E+06   2000236E-02 -.1612E+02  .2721E+03   .9992889  .0211879  .0311906
T  618  1 .9047068E+06   2000226E-02 -.5290E+01 -.4543E+02   .9999612 -.0072167 -.0050468
T  619  1 .9048117E+06   2000059E-02  .3010E+03  .2044E+03   .9989747  .0372816  .0256848
T  620  1 .9038895E+06   2000238E-02 -.1394E+03 -.1436E+03   .9996627 -.0183368 -.0183922
T  621  1 .9141163E+06   2000212E-02 -.1471E+03  .9273E+01   .9996877 -.0238018  .0076114
T  622  1 .9123578E+06   2000198E-02  .4009E+02 -.1192E+03   .9996427  .0203032 -.0173826
T  623  1 .9116665E+06   2000076E-02  .2590E+01 -.4187E+02   .9999394 -.0020072 -.0108212
T  624  1 .9106367E+06   2000227E-02 -.1809E+02 -.3122E+02   .9997843 -.0106295 -.0178438
T  625  1 .9079713E+06   2000075E-02 -.6163E+02  .3230E+02   .9999449 -.0079006 -.0069102
T  626  1 .9201413E+06   2000159E-02  .6848E+02  .1059E+03   .9999204  .0043633  .0118400
T  627  1 .9145243E+06   2000221E-02 -.9406E+02 -.1570E+03   .9998419 -.0165801 -.0064313
T  628  1 .8986116E+06   2000181E-02  .8631E+02 -.7359E+02   .9998377  .0120404 -.0134030
T  629  1 .9129973E+06   2000105E-02 -.7280E+02  .4353E+02   .9999711 -.0054431 -.0053063
T  630  1 .9130774E+06   2000078E-02  .6268E+02 -.2535E+01   .9999712  .0075039 -.0011093
T  631  1 .9085682E+06   2000110E-02  .7053E+02  .2026E+02   .9999907  .0042659  .0005803
T  632  1 .9155528E+06   2000066E-02  .1228E+03 -.4937E+03   .9993941  .0176123 -.0300199
T  633  1 .9141601E+06   2000033E-02  .1414E+03 -.5351E+02   .9994921  .0317479 -.0027526
T  634  1 .9074722E+06   2000065E-02  .7692E+02  .1317E+02   .9999309  .0116520  .0015316
T  635  1 .9139102E+06   2000067E-02 -.5095E+02 -.3333E+03   .9991654 -.0100640 -.0395877
T  636  1 .9167103E+06   2000150E-02  .4265E+02  .6940E+02   .9999966 -.0019366  .0017589
T  637  1 .9014143E+06   2000174E-02  .4120E+02  .4526E+02   .9999763 -.0045786  .0051497
T  638  1 .9093476E+06   2000229E-02 -.6231E+02 -.7612E+02   .9999216 -.0044460 -.0117076
T  639  1 .9142581E+06   2000172E-02  .3809E+02  .9429E+02   .9996352  .0186006  .0195808
T  640  1 .9039664E+06   2000236E-02 -.2829E+02 -.3246E+02   .9999750 -.0024605 -.0066336
T  641  1 .9158143E+06   2000228E-02  .2251E+03  .2123E+01   .9995136  .0308295 -.0046958
T  642  1 .9073989E+06   2000131E-02  .3473E+02  .6672E+02   .9999272  .0037909  .0114549
T  643  1 .9157626E+06   2000036E-02  .2023E+02 -.4421E+02   .9999920 -.0019128 -.0035197
T  644  1 .9094554E+06   2000218E-02  .1453E+01 -.4611E+02   .9998596 -.0084007 -.0144976
T  645  1 .9134652E+06   2000189E-02 -.3713E+02  .1329E+03   .9999557  .0011833 -.0093418
T  646  1 .9117858E+06   2000181E-02  .2002E+02  .3857E+02   .9999439 -.0103086 -.0024521
T  647  1 .9131284E+06   2000207E-02  .3055E+02 -.9633E+02   .9999307  .0042746 -.0109654
T  648  1 .9040938E+06   2000187E-02  .1153E+03  .1951E+02   .9998733  .0046721 -.0152163
T  649  1 .9150754E+06   2000107E-02 -.3967E+02  .1157E+03   .9997478 -.0122833  .0188019
T  650  1 .9114750E+06   2000162E-02 -.3798E+02  .5621E+02   .9999512 -.0092470  .0034811
T  651  1 .8994206E+06   2000218E-02 -.1091E+03  .2404E+02   .9999511 -.0092875  .0033852
T  652  1 .9105944E+06   2000165E-02 -.6695E+02  .1196E+03   .9999059  .0065255  .0120702
T  653  1 .9091503E+06   2000088E-02  .1268E+03 -.4341E+02   .9997937  .0200137 -.0034558
T  654  1 .9111727E+06   2000239E-02 -.1412E+03 -.1266E+03   .9997179 -.0074124 -.0225662
T  655  1 .9028984E+06   2000235E-02 -.8372E+02 -.5119E+02   .9999978 -.0017816  .0011505
T  656  1 .9127189E+06   2000198E-02  .1082E+03  .4021E+02   .9999481  .0097462 -.0029701
T  657  1 .9066578E+06   2000100E-02  .3170E+02 -.6064E+02   .9999238 -.0122427  .0016032
T  658  1 .9124526E+06   2000007E-02 -.1885E+02 -.5043E+02   .9999536 -.0075701 -.0059587
T  659  1 .9149773E+06   2000232E-02 -.7831E+01  .7542E+02   .9982217 -.0521800 -.0288220
T  660  1 .9138096E+06   2000083E-02  .4905E+02  .9512E+01   .9999911 -.0042247  .0001447
T  661  1 .9087237E+06   2000149E-02 -.2823E+02  .7324E+02   .9999424 -.0098097  .0043440
T  662  1 .9119742E+06   2000075E-02  .9923E+02  .1273E+03   .9994879  .0148971  .0283195
T  663  1 .9129757E+06   2000135E-02  .6695E+02 -.5297E+02   .9998045  .0182931 -.0075102
T  664  1 .8985091E+06   2000211E-02  .7595E+01  .3291E+02   .9999440 -.0079681  .0069642
T  665  1 .9073128E+06   2000227E-02 -.2000E+03  .1409E+03   .9991710 -.0259722  .0313487
T  666  1 .9036545E+06   2000240E-02  .4671E+03  .1242E+03   .9989521  .0455766  .0041782
T  667  1 .9144298E+06   2000134E-02  .1934E+03 -.1259E+03   .9993078  .0239626 -.0284564
T  668  1 .9030628E+06   2000236E-02  .6232E+02  .9907E+02   .9999434  .0090033 -.0056720
T  669  1 .9166710E+06   2000099E-02 -.1023E+03  .4090E+02   .9996740 -.0215770  .0136510
T  670  1 .9123124E+06   2000058E-02  .3199E+02  .4671E+02   .9999552  .0057900  .0074841
T  671  1 .9166536E+06   2000203E-02 -.2481E+02 -.2523E+03   .9996003  .0104437 -.0262705
T  672  1 .9251758E+06   2000108E-02 -.1118E+03  .5628E+02   .9999588 -.0083827  .0034816
T  673  1 .9106570E+06   2000206E-02  .3017E+01  .2086E+01   .9999480  .0089224 -.0049296
T  674  1 .9076144E+06   2000233E-02 -.7778E+02  .4188E+02   .9999970  .0007624  .0023075
T  675  1 .9199414E+06   2000076E-02 -.3801E+02  .5599E+02   .9999257  .0022353  .0119806
T  676  1 .9020673E+06   2000082E-02 -.8836E+02 -.2837E+02   .9999690 -.0019519 -.0076268
T  677  1 .9148690E+06   2000200E-02 -.1497E+03 -.9888E+02   .9997054  .0175682 -.0167466
T  678  1 .9145866E+06   2000142E-02 -.5629E+02  .1292E+03   .9994719  .0052617  .0320669
T  679  1 .9151904E+06   2000237E-02  .5332E+02 -.1247E+03   .9997262  .0081291 -.0219416
T  680  1 .9120918E+06   2000042E-02 -.3637E+02 -.5191E+02   .9999112 -.0051204  .0123027
T  681  1 .9032971E+06   2000148E-02  .8107E+02  .1073E+02   .9999674  .0043643  .0067879
T  682  1 .9189845E+06   2000204E-02 -.1447E+02  .6376E+02   .9999021 -.0040128  .0134013
T  683  1 .9132278E+06   2000240E-02  .2115E+03 -.3088E+03   .9989610  .0238424 -.0388382
T  684  1 .9102002E+06   2000058E-02 -.1030E+03 -.2182E+03   .9998592 -.0074023 -.0150617
T  685  1 .9147017E+06   2000218E-02 -.2233E+03 -.1748E+03   .9995519 -.0283071 -.0097339
T  686  1 .9031839E+06   2000184E-02  .6398E+02 -.5053E+02   .9999313 -.0020120 -.0115494
T  687  1 .9125382E+06   2000234E-02  .5776E+02 -.5502E+02   .9999035  .0098520 -.0097895
T  688  1 .9069873E+06   2000230E-02 -.2342E+03  .6687E+02   .9994649 -.0321536  .0059975
T  689  1 .9110639E+06   2000196E-02  .2311E+03 -.4684E+02   .9993106  .0366525 -.0059119
T  690  1 .9141619E+06   2000209E-02  .1413E+03 -.2505E+02   .9999909  .0031205  .0028933
T  691  1 .9079556E+06   2000035E-02 -.1278E+02  .1240E+03   .9999098 -.0018982  .0132996
T  692  1 .9002130E+06   2000176E-02  .2482E+02 -.1014E+03   .9999598  .0089546  .0004573
T  693  1 .9193237E+06   2000229E-02  .2079E+02  .7202E+02   .9998628 -.0079475  .0145312
T  694  1 .9096733E+06   2000213E-02 -.1064E+03 -.6630E+02   .9996646 -.0149223 -.0211678
T  695  1 .9076949E+06   2000196E-02  .1252E+03 -.1300E+03   .9998439  .0133449 -.0115814
T  696  1 .9158301E+06   2000214E-02  .4063E+02 -.1434E+03   .9999828 -.0028966 -.0051087
T  697  1 .9083139E+06   2000160E-02 -.8117E+02 -.2993E+02   .9999880  .0047904 -.0010597
T  698  1 .9119428E+06   2000235E-02 -.1983E+01  .6130E+02   .9999550 -.0066172  .0068025
T  699  1 .9098616E+06   2000229E-02 -.9570E+02 -.5284E+02   .9999287 -.0113499 -.0037220
T  700  1 .9091584E+06   2000090E-02 -.5298E+02 -.6748E+02   .9998187 -.0112845 -.0153387
T  701  1 .9103175E+06   2000015E-02 -.1052E+03  .1504E+02   .9998843 -.0036673  .0147660
T  702  1 .9046035E+06   2000221E-02  .5714E+01 -.1799E+03   .9992990  .0176332 -.0330253
T  703  1 .9165134E+06   2000239E-02  .1535E+03 -.1066E+02   .9997871  .0199222  .0053748
T  704  1 .9030606E+06   2000181E-02 -.2391E+02  .2114E+02   .9999236 -.0031631 -.0119533
T  705  1 .9090084E+06   2000132E-02  .9860E+02  .1271E+03   .9999571  .0081773 -.0043497
T  706  1 .9184602E+06   2000194E-02  .1224E+03  .3872E+02   .9999323  .0078384  .0085963
T  707  1 .9143030E+06   2000142E-02 -.8288E+02  .5904E+02   .9999707 -.0065166 -.0040256
T  708  1 .9148788E+06   2000095E-02  .3539E+02 -.1236E+03   .9998662  .0067483 -.0149024
T  709  1 .9051358E+06   2000038E-02 -.4430E+02  .2694E+02   .9999998 -.0005452  .0001442
T  710  1 .9014750E+06   2000210E-02  .2050E+03 -.1558E+03   .9971681  .0580978 -.0477534
T  711  1 .9078429E+06   2000114E-02 -.3453E+03  .5696E+03   .9941723 -.0425752  .0990397
T  712  1 .9070734E+06   2000019E-02  .3621E+00 -.1172E+03   .9997301  .0198952 -.0119942
T  713  1 .9158256E+06   2000143E-02  .7797E+02 -.1539E+03   .9998096  .0146645 -.0128717
T  714  1 .8999021E+06   2000129E-02 -.2846E+03  .3077E+03   .9998405 -.0166512  .0064522
T  715  1 .9151555E+06   2000002E-02 -.4718E+02 -.3896E+02   .9999676  .0075521 -.0027724
T  716  1 .9102015E+06   2000171E-02 -.1169E+03  .1361E+03   .9993433 -.0362343  .0001666
T  717  1 .9182174E+06   2000202E-02  .6247E+02  .3558E+02   .9999379  .0108198  .0026676
T  718  1 .9210721E+06   2000072E-02  .5255E+02 -.1297E+02   .9999909 -.0001844  .0042650
T  719  1 .9158694E+06   2000237E-02 -.7607E+02 -.7601E+02   .9993569 -.0147818 -.0326687
T  720  1 .9074534E+06   2000160E-02 -.4185E+02  .5370E+02   .9998343 -.0159883  .0087000
T  721  1 .9107396E+06   2000138E-02 -.3221E+02  .3523E+02   .9999919  .0023169  .0032936
T  722  1 .9120870E+06   2000078E-02  .7287E+02 -.1383E+03   .9998713  .0114424 -.0112443
T  723  1 .9089034E+06   2000059E-02  .3121E+03 -.5902E+03   .9992462  .0280299 -.0268599
T  724  1 .9070672E+06   2000188E-02  .2823E+03  .1212E+03   .9996095  .0237163  .0147807
T  725  1 .9138500E+06   2000163E-02  .1988E+02  .1145E+02   .9999474  .0101768  .0012382
T  726  1 .9134609E+06   2000192E-02 -.5002E+02  .5780E+02   .9999857  .0015813  .0051027
T  727  1 .9159420E+06   2000195E-02 -.9173E+02  .1113E+03   .9998820 -.0077587  .0132586
T  728  1 .9019654E+06   2000080E-02 -.1151E+03 -.2944E+02   .9987783 -.0487293 -.0082087
T  729  1 .9056936E+06   2000152E-02  .2070E+02  .6008E+02   .9999367  .0107704  .0032406
T  730  1 .9076328E+06   2000134E-02 -.7357E+02 -.5487E+02   .9998070  .0025537 -.0194808
T  731  1 .9151597E+06   2000235E-02  .1353E+03  .1260E+03   .9996844  .0077435  .0238974
T  732  1 .9178541E+06   2000215E-02 -.2463E+02 -.6466E+02   .9998784 -.0146970 -.0052093
T  733  1 .9047112E+06   2000230E-02  .6523E+02 -.2197E+02   .9999745 -.0059841  .0038950
T  734  1 .9049063E+06   2000056E-02  .6069E+02  .1102E+03   .9999487 -.0012728  .0100460
T  735  1 .9046371E+06   2000073E-02 -.1211E+02  .7448E+02   .9999365 -.0080909  .0078386
T  736  1 .9123667E+06   2000218E-02 -.2492E+02 -.1285E+03   .9996477  .0078241 -.0253641
T  737  1 .9301059E+06   2000193E-02 -.9130E+02 -.8899E+02   .9998590 -.0098841 -.0135728
T  738  1 .9120475E+06   2000197E-02 -.4606E+02 -.5027E+02   .9999847 -.0054320  .0010566
T  739  1 .9166177E+06   2000152E-02 -.5767E+02 -.6718E+02   .9994736 -.0000731 -.0324437
T  740  1 .9045934E+06   2000189E-02  .8245E+02  .1804E+02   .9999286  .0085278 -.0083766
T  741  1 .9066438E+06   2000223E-02 -.1697E+02 -.2671E+01   .9999771  .0026614 -.0062225
T  742  1 .9215462E+06   2000200E-02 -.9110E+02  .4488E+02   .9999681 -.0065143 -.0046214
T  743  1 .9083029E+06   2000096E-02 -.1803E+02  .7782E+02   .9999183  .0013124  .0127150
T  744  1 .9128591E+06   2000095E-02  .1432E+03 -.1446E+03   .9999836  .0057070 -.0004771
T  745  1 .9205278E+06   2000007E-02  .1256E+03 -.6564E+02   .9998600 -.0137036 -.0096003
T  746  1 .9000280E+06   2000024E-02  .1343E+03 -.4765E+00   .9998252  .0185485  .0023678
T  747  1 .9132162E+06   2000196E-02  .1492E+02  .9591E+02   .9997972  .0195377 -.0048737
T  748  1 .9038002E+06   2000121E-02  .7966E+02 -.1399E+03   .9999174  .0077015 -.0102876
T  749  1 .9080452E+06   2000136E-02  .1850E+02  .2988E+02   .9999627  .0084386  .0018581
T  750  1 .9005974E+06   2000147E-02 -.6513E+02 -.4653E+02   .9999737 -.0071891 -.0009769
T  751  1 .9056716E+06   2000063E-02 -.1297E+03  .9865E+02   .9999984 -.0016583 -.0006286
T  752  1 .9097837E+06   2000001E-02 -.1452E+02 -.5897E+02   .9993210 -.0335600 -.0152080
T  753  1 .9131714E+06   2000110E-02 -.4326E+02  .9706E+02   .9998010  .0089966  .0178038
T  754  1 .9042873E+06   2000137E-02  .4612E+02 -.8170E+02   .9999774  .0059531 -.0031289
T  755  1 .9112784E+06   2000088E-02 -.1915E+03  .5233E+02   .9997052 -.0241952  .0020219
T  756  1 .9015129E+06   2000161E-02 -.4841E+02  .1580E+03   .9998485 -.0067819  .0160308
T  757  1 .9051245E+06   2000190E-02  .1690E+03 -.2944E+03   .9992263  .0100462 -.0380259
T  758  1 .9061816E+06   2000093E-02 -.6897E+02 -.2220E+03   .9996180 -.0006249 -.0276306
T  759  1 .9172497E+06   2000178E-02 -.8001E+02 -.2171E+02   .9999528 -.0000189 -.0097114
T  760  1 .9140590E+06   2000231E-02 -.1261E+03 -.2675E+02   .9997757 -.0185069  .0102989
T  761  1 .9111946E+06   2000055E-02 -.1052E+03 -.2259E+02   .9999535 -.0080609 -.0052992
T  762  1 .9016002E+06   2000132E-02 -.2735E+02 -.2040E+03   .9997984 -.0087207 -.0180866
T  763  1 .9091578E+06   2000105E-02  .6108E+02  .1130E+03   .9998735  .0115821  .0109032
T  764  1 .9106354E+06   2000084E-02 -.7875E+02  .7646E+02   .9999079 -.0017445  .0134575
T  765  1 .9175729E+06   2000149E-02 -.1064E+03  .1202E+03   .9993842 -.0297465  .0186109
T  766  1 .9071790E+06   2000104E-02  .8381E+02 -.8716E+02   .9999608  .0087271  .0014719
T  767  1 .9190153E+06   2000178E-02 -.7588E+02 -.1461E+03   .9998471 -.0116330 -.0130564
T  768  1 .9092582E+06   2000141E-02  .8469E+02  .1455E+02   .9999897  .0032190 -.0031888
T  769  1 .9144019E+06   2000106E-02 -.1254E+03  .1830E+03   .9997461 -.0129051  .0184736
T  770  1 .9017553E+06   2000197E-02 -.1536E+03  .9032E+02   .9997765 -.0164584  .0132714
T  771  1 .9161714E+06   2000227E-02 -.7629E+02  .5165E+02   .9999698 -.0004623  .0077578
T  772  1 .9083032E+06   2000215E-02 -.4121E+03 -.1328E+03   .9993912 -.0261205 -.0231306
T  773  1 .9101152E+06   2000170E-02  .8393E+02 -.4416E+02   .9992396  .0387849  .0039838
T  774  1 .8984996E+06   2000175E-02  .2785E+02 -.2541E+02   .9999466  .0093213 -.0044519
T  775  1 .9075743E+06   2000233E-02 -.7076E+02  .8695E+02   .9999181 -.0018369  .0126689
T  776  1 .9088950E+06   2000107E-02 -.1904E+02 -.1159E+03   .9999712  .0048560 -.0058270
T  777  1 .9149614E+06   2000117E-02 -.8988E+02 -.2119E+03   .9998905 -.0059061 -.0135689
T  778  1 .9139142E+06   2000005E-02  .8172E+02 -.1392E+03   .9996825  .0102768 -.0230058
T  779  1 .9061504E+06   2000190E-02 -.2221E+01 -.1756E+02   .9999553  .0027848 -.0090355
T  780  1 .9085249E+06   2000120E-02 -.9149E+02  .9050E+02   .9998872 -.0107669  .0104750
T  781  1 .9092906E+06   2000092E-02 -.8547E+02 -.6961E+02   .9999567  .0060198 -.0070944
T  782  1 .9153472E+06   2000184E-02 -.2130E+03 -.1212E+03   .9991226 -.0357590 -.0218003
T  783  1 .9178586E+06   2000183E-02 -.9904E+02  .4000E+02   .9997485 -.0184879  .0126954
T  784  1 .9024997E+06   2000002E-02 -.5151E+02  .1924E+02   .9999748  .0059469 -.0038833
T  785  1 .9111253E+06   2000155E-02  .9567E+00 -.3030E+02   .9999714  .0041014 -.0063616
T  786  1 .9065982E+06   2000212E-02  .3931E+02 -.1538E+03   .9998218 -.0040502 -.0184356
T  787  1 .9121090E+06   2000053E-02  .8352E+02 -.9250E+02   .9998775  .0079812 -.0134644
T  788  1 .9096480E+06   2000202E-02  .1708E+02  .2515E+03   .9998878 -.0009123  .0149498
T  789  1 .9126377E+06   2000064E-02  .7316E+02  .1718E+03   .9995197  .0053247  .0305282
T  790  1 .9225047E+06   2000175E-02 -.1040E+03 -.9184E+02   .9998542 -.0069597 -.0155909
T  791  1 .9096762E+06   2000212E-02 -.1379E+03  .2174E+02   .9998297 -.0179651 -.0042325
T  792  1 .9245211E+06   2000105E-02  .1688E+03  .8094E+02   .9996069  .0267765  .0083100
T  793  1 .9145430E+06   2000064E-02  .4531E+03  .2419E+03   .9979737  .0585058  .0250127
T  794  1 .9114546E+06   2000187E-02  .2796E+02  .1790E+03   .9994611  .0093304  .0314715
T  795  1 .9086229E+06   2000163E-02  .4956E+01  .1714E+03   .9986266  .0161510  .0498401
T  796  1 .9138330E+06   2000025E-02  .4410E+02  .9849E+01   .9999990  .0013995  .0002359
T  797  1 .9150628E+06   2000102E-02 -.8995E+02 -.2719E+01   .9998948 -.0143969  .0017939
T  798  1 .9106649E+06   2000006E-02  .1570E+03 -.2428E+02   .9998937  .0137545 -.0048447
T  799  1 .9125035E+06   2000004E-02  .7757E+02 -.2866E+02   .9998706  .0143501  .0072641
T  800  1 .9131549E+06   2000134E-02 -.1315E+02  .3683E+02   .9999647 -.0029922 -.0078482
T  801  1 .8989848E+06   2000167E-02 -.5657E+02  .7468E+02   .9999785 -.0062964  .0018354
T  802  1 .9087388E+06   2000150E-02 -.1487E+03  .5934E+03   .9972398 -.0169009  .0722993
T  803  1 .9078933E+06   2000068E-02  .1754E+02 -.9310E+02   .9999429 -.0105403 -.0017702
T  804  1 .9059197E+06   2000016E-02  .3726E+02 -.9564E+02   .9999441  .0046681 -.0094878
T  805  1 .8950996E+06   2000090E-02  .2487E+02  .8904E+02   .9998446  .0077579  .0158311
T  806  1 .9103679E+06   2000097E-02  .1710E+02 -.9510E+02   .9999406  .0016521 -.0107693
