,"Energy, MeV","IFlux, cm-2"
439,15.75282198299973,315306164713.1987
440,15.935428181253943,312096974947.7277
441,16.120151144598044,309009693384.4874
442,16.307015410503865,305985465376.85156
443,16.49604580088081,302956293737.55365
444,16.687267425373047,299922518276.53217
445,16.880705684694913,296884484414.82434
446,17.07638627400501,293842543137.02484
447,17.274335186319348,290797050939.07965
448,17.474578715964192,287748369771.3136
449,17.67714346206872,284696866976.60223
450,17.882056332098372,281642915223.59143
451,18.089344545429043,278666461569.8411
452,18.29903563696275,275792664359.0987
453,18.51115746078519,272915706832.59448
454,18.725738193865713,270035933582.29172
455,18.942806339800182,267153694256.23035
456,19.162390732597213,264269343492.81226
457,19.3845205405083,261383240850.27496
458,19.60922526990237,258495750731.29028
459,19.836534769185185,255607242302.59216
460,20.066479232764316,252749828149.62323
461,20.29908920505986,249969861088.1791
462,20.534395584561857,247188777677.80762
463,20.772429627934628,244406936199.0382
464,21.013222954168736,241624699384.1815
465,21.256807548781048,238842434327.08777
466,21.503215768063495,236060512387.8832
467,21.75248034338109,233279309092.60962
468,22.00463438551976,230501579193.64456
469,22.259711389084586,227852117992.96204
470,22.51774523694901,225202928300.5387
471,22.778770204755624,222554367105.00232
472,23.042820965469208,219906795277.50098
473,23.309932593982357,217260577467.06482
474,23.580140571774695,214616081990.97964
475,23.853480791626005,211973680720.13312
476,24.129989562383994,209333748959.28345
477,24.409703613787354,206696665322.2319
478,24.692660101344703,204062811601.86108
479,24.97889661127011,201432572635.0125
480,25.268451165475796,198944977243.14923
481,25.561362226622766,196470692585.89343
482,25.857668703229923,193999034487.596
483,26.157409954842425,191530360392.9568
484,26.460625797260082,189065030614.67523
485,26.76735650782607,186603408202.5583
486,27.077642830777233,184145858807.76175
487,27.39152598265629,181692750542.17026
488,27.709047657786773,179244453832.90488
489,28.030250033811445,176814193290.96848
490,28.35517577729494,174512664982.45337
491,28.683868049391304,172214937005.50858
492,29.016370511577282,169921353469.45847
493,29.352727331452027,167632260651.30215
494,29.69298318860406,165348006855.24103
495,30.037183280546206,163068942267.67307
496,30.385373328719467,160795418807.6607
497,30.73759958456622,158527789972.8998
498,31.093908835674068,156266410681.21756
499,31.45434841199081,154011637107.63412
500,31.818966192111457,151763826517.0249
501,32.18781060963812,149601992506.18207
502,32.56093065961366,147522059442.0993
503,32.93837590502986,145447436575.05658
504,33.3201964834111,143378448099.37372
505,33.70644311347429,141315419395.63492
506,34.09716710186608,139258676878.67816
507,34.49242034997802,137208547841.59445
508,34.89225536084103,135165360295.79266
509,35.29672524609933,133199879140.73569
510,35.705883733065626,131266193557.0716
511,36.11978517185789,129338652786.39288
512,36.53848454261888,127417564863.19041
513,36.96203746281937,125503238377.5643
514,37.39050019464603,123595982318.52626
515,37.82392965247499,121696105913.76556
516,38.26238341043195,119803918465.9534
517,38.70591971004,117919729185.65916
518,39.154597467956016,116043847020.96632
519,39.60847628379698,114176580483.87933
520,40.067616448056555,112333914808.41766
521,40.53207895011387,110590518418.94186
522,41.00192548633496,108854440372.67447
523,41.47721846826812,107125965183.66296
524,41.95802103093426,105405376990.45068
525,42.44439704121342,103692959393.83182
526,42.9364111063284,101988995291.82812
527,43.43412858242683,100293766711.98401
528,43.937615583262684,98607554641.10014
529,44.44693898897839,96930638852.51584
530,44.96216645498876,95263297731.06625
531,45.48336642096814,93696241291.99525
532,46.01060811994115,92144290407.59102
533,46.54396158747948,90600502336.35191
534,47.08349767100483,89065133154.21776
535,47.62928803919993,87538437717.18741
536,48.18140519152852,86020669499.92543
537,48.73992246786579,84512080432.44989
538,49.30491405824033,83012920735.04013
539,49.87645501268914,81523438751.4964
540,50.454621251226804,80103763957.54355
541,51.03948957393023,78708964695.18755
542,51.63113767114026,77322706036.25317
543,52.229644133781775,75945217816.98184
544,52.83508846380297,74576728087.6119
545,53.447551084736034,73217462956.94118
546,54.067113352380154,71867646435.70421
547,54.69385756560826,70527500278.9072
548,55.32786697729916,69232469801.20758
549,55.96922580539629,67979291510.71132
550,56.61801924409474,66734664550.55173
551,57.274333475157945,65498793798.37675
552,57.938255679365504,64271882003.20069
553,58.6098740480938,63054129639.54633
554,59.28927779503068,61845734760.97818
555,59.976557168026346,60646892853.18073
556,60.671803461080955,59457796686.744354
557,61.37510902647178,58278636169.81799
